trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-71.97954466366107,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,2,-115.31062698003518,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-11.665130858398705,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,7,-118.64373519050154,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-98.96009560033295,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-81.5061865233829,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-143.28439056080387,"{0: 26, 1: 1, 2: 3, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-33.03462373075818,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-21.2040333772359,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-33.134149844431214,"{0: 26, 1: 0, 2: 1, 3: 3, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-120.99498917798854,"{0: 25, 1: 1, 2: 0, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-61.35717992759769,"{0: 26, 1: 2, 2: 0, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,15.751766546986731,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-79.14055416306155,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,3,-31.935408157034832,"{0: 24, 1: 1, 2: 0, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,16,-33.30987808645495,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-74.01050455576278,"{0: 25, 1: 0, 2: 2, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,10,-80.14040789945527,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,6,11.853621182556871,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-18.605651660824513,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",30,0,2.168208390163117,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-28.050544010215827,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",30,14,26.21348490995668,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,-78.97729265491346,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,2,22.85896278081759,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,19.319292292672678,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,0,-6.9031247489053875,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-129.40070508269582,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",20,0,-20.20813156686923,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-56.32067313807981,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
