trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9950124791926823}",30,0,-299.0892371429312,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 6}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",30,0,-274.61298773785677,"{0: 13, 1: 4, 2: 7, 3: 2, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.9851119396030626}",20,0,-57.58260931232649,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-180.87766388305045,"{0: 12, 1: 6, 2: 3, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9753099120283326}",25,5,-103.14645172323577,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-157.9560272093757,"{0: 12, 1: 0, 2: 11, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9656054162575665}",20,0,-65.86143795712287,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-81.81365121389963,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9559974818331}",20,1,-11.273625601777253,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.951229424500714}",25,0,-97.16773903231302,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9464851479534838}",25,0,-67.6563681499727,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-91.45442673882711,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9370674633774034}",25,0,-168.26207478716017,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,9,-34.68933599691401,"{0: 6, 1: 0, 2: 5, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.9277434863285529}",20,0,-129.61107798907182,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-118.6051250391125,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9185122844014574}",20,12,-1.8866325321194166,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,0,-131.28403050126474,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9093729344682314}",20,0,-58.920149947986154,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9048374180359595}",30,4,-112.72244399560665,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 2}",1
21,False,"{'a': 0.5, 'e': 0.9003245225862656}",25,0,-175.07734747929186,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8958341352965282}",25,0,-130.367849200545,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.8913661439068313}",35,0,-153.64116583669843,"{0: 23, 1: 3, 2: 6, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-128.3090752673613,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",1
25,False,"{'a': 0.5, 'e': 0.8824969025845955}",25,0,-88.07879138160052,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,1,-149.70572871684547,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 3}",1
27,False,"{'a': 0.5, 'e': 0.8737159116880344}",20,0,-105.86220496888862,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-92.57055644046423,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.8650222931107413}",20,0,-153.85435107807845,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-85.89274853579137,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.8564151774836135}",20,0,-67.59005104493593,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
